waste_type,material_composition,recycling_potential,toxicity_level,management_strategy
1,0.3180034749718639,0.09367476782809248,66.01973767177313,0
2,0.11005192452767676,0.3677158030594335,27.993389694594285,0
1,0.22793516254194168,0.26520236768172545,95.48652806631941,0
2,0.4271077886262563,0.24398964337908358,73.78969166957685,0
3,0.8180147659224931,0.9730105547524456,55.43540525114007,0
3,0.8607305832563434,0.3930977246667604,61.17207462343522,0
1,0.006952130531190703,0.8920465551771133,41.96000624277899,0
3,0.5107473025775657,0.6311386259972629,24.773098950115745,1
3,0.417411003148779,0.7948113035416484,35.597267865126156,0
2,0.22210781047073025,0.5026370931051921,75.78461104643691,0
1,0.1198653673336828,0.5769038846263591,1.4393488629755868,0
2,0.33761517140362796,0.4925176938188639,11.607264050691624,0
2,0.9429097039125192,0.1952429877980445,4.600264202175275,0
2,0.32320293202075523,0.7224521152615053,4.072880231897013,0
2,0.5187906217433661,0.2807723624408558,85.54605840110072,0
2,0.7030189588951778,0.02431596643145384,70.36578593800236,0
2,0.363629602379294,0.6454722959071678,47.41738290873252,0
2,0.9717820827209607,0.17711067940704894,9.783416065100148,0
1,0.9624472949421112,0.9404585843529143,49.16158751168324,1
3,0.25178229582536416,0.9539285770025874,47.34717707805657,0
2,0.49724850589238545,0.9148643902204485,17.320186991001517,0
2,0.30087830981676966,0.3701587002554444,43.385164923797305,0
2,0.2848404943774676,0.015456616528867428,39.85047343973734,0
2,0.036886947354532795,0.9283185625877254,61.585009805221645,0
2,0.6095643339798968,0.42818414831731433,63.50936508676438,0
2,0.5026790232288615,0.9666548190436696,4.530400977204452,1
3,0.05147875124998935,0.9636199770892528,37.46126146264712,0
3,0.27864646423661144,0.8530094554673601,62.58599157142364,0
2,0.9082658859666537,0.2944488920695857,50.31362585800877,0
3,0.23956189066697242,0.38509772860192526,85.64898411883223,0
1,0.1448948720912231,0.8511366715168569,65.8693631618945,0
2,0.489452760277563,0.31692200515627766,16.29344270814297,0
1,0.9856504541106007,0.1694927466860925,7.056874740042984,0
1,0.2420552715115004,0.5568012624583502,64.24192782063156,0
2,0.6721355474058786,0.936154774160781,2.6511310541621813,1
3,0.7616196153287176,0.696029796674973,58.57755812734633,0
1,0.23763754399239967,0.570061170089365,94.02302414249576,0
2,0.7282163486118596,0.09717649377076854,57.5474177875879,0
1,0.3677831327192532,0.6150072266991697,38.816992620652194,0
1,0.6323058305935795,0.9900538501042633,64.32882184423532,0
1,0.6335297107608947,0.14008401523652403,45.825289049151664,0
1,0.5357746840747585,0.5183296523637367,54.56167893159349,0
3,0.0902897700544083,0.8773730719279554,94.14648087765252,0
1,0.835302495589238,0.7407686177542044,38.610263780077425,1
1,0.32078006497173583,0.697015740995268,96.11905638239142,0
1,0.18651851039985423,0.7024840839871093,90.53506419560637,0
3,0.040775141554763916,0.35949115121975517,19.579113478929642,0
1,0.5908929431882418,0.29359184426449336,6.9361300875165455,0
1,0.6775643618422824,0.8093611554785136,10.077800137742665,1
